acc,val_acc,sigma,lambda,n1,n2,n3,n4,sp1,sp2,sp3,sp4
0.8368485945851841,0.8335226555611305,0.3333333333333333,0.0024513818359374996,52.0,50.0,47.666666666666664,18.666666666666668,0.06049382716049382,0.025066666666666643,0.08033333333333333,0.0666666666666667
0.8332600270685369,0.8336603444517113,0.3333333333333333,0.0028882606907894735,52.0,50.0,47.666666666666664,17.0,0.06728395061728394,0.020533333333333365,0.16066666666666665,0.1523809523809524
0.834324266330249,0.8334595481550564,0.3333333333333333,0.0020659004934210526,52.666666666666664,50.0,48.666666666666664,17.666666666666668,0.05098765432098762,0.019066666666666676,0.09200000000000004,0.1166666666666667
0.8360157573992963,0.8341020963113283,0.25,0.002939658203125,50.666666666666664,50.0,49.0,18.0,0.10111111111111111,0.0067999999999999545,0.072,0.10952380952380954
0.8333900662137852,0.8300574851151241,0.25,0.0031966457648026315,50.0,50.0,47.333333333333336,18.666666666666668,0.1028395061728395,0.020000000000000018,0.09166666666666667,0.06666666666666665
0.8312778428496589,0.8312450518081812,0.25,0.0028882606907894735,52.0,50.0,47.333333333333336,18.0,0.07617283950617282,0.021866666666666663,0.079,0.10238095238095235
0.8311525894492483,0.83085493327689,0.2,0.002939658203125,50.0,50.0,48.666666666666664,18.666666666666668,0.1048148148148148,0.0070666666666666655,0.06699999999999999,0.06904761904761902
0.833678837125933,0.8326391518425807,0.2,0.002682670641447368,51.0,50.0,48.666666666666664,19.0,0.0808641975308642,0.006666666666666672,0.042,0.05238095238095242
0.8331758760765942,0.8307344554936993,0.2,0.0023742855674342106,49.333333333333336,50.0,48.333333333333336,18.333333333333332,0.10543209876543214,0.003066666666666699,0.07999999999999996,0.08333333333333337
0.8312061384828914,0.8313081592204106,0.2,0.0021686955180921052,50.666666666666664,50.0,49.333333333333336,18.666666666666668,0.07617283950617282,0.0029333333333333433,0.019666666666666683,0.06904761904761907
