acc,val_acc,type,sigma,lambda,n1,n2,n3,n4,sp1,sp2,sp3,sp4
0.8310579235258172,0.827813588713397,type4,0.125,0.000132,54.0,50.0,50.0,19.666666666666668,0.01604938271604935,0.0017333333333333274,0.0023333333333333353,0.016666666666666684
0.6020088414242935,0.6012853361258194,type4,0.125,0.000254,53.666666666666664,50.0,50.0,20.0,0.0076543209876543195,0.0021333333333333573,0.0010000000000000009,0.0
0.3649174811307277,0.3649174818866494,type4,0.125,0.0004980000000000001,54.0,50.0,50.0,20.0,0.014197530864197542,0.0009333333333333417,0.001000000000000001,0.0
0.40552110529152613,0.4055055704268507,type4,0.125,0.000987,54.0,50.0,50.0,20.0,0.0070370370370370266,0.008799999999999994,0.0010000000000000009,0.002380952380952373
0.36484098700246403,0.36484099023632827,type4,0.125,0.001963,54.0,50.0,50.0,20.0,0.010123456790123461,0.00853333333333332,0.00033333333333333365,0.002380952380952373
0.36444894882937495,0.3644489480233615,type4,0.125,0.003915999999999999,54.0,50.0,50.0,20.0,0.017530864197530877,0.004533333333333315,0.0050000000000000044,0.0
0.36451970634820724,0.3645197036879247,type4,0.125,0.007821999999999999,54.0,50.0,50.0,20.0,0.006913580246913575,0.033066666666666654,0.0686666666666667,0.0
0.36486967151119726,0.3648696708784345,type4,0.125,0.015635,54.0,50.0,50.0,20.0,0.044691358024691374,0.06386666666666667,0.05499999999999997,0.0
0.36453691859186543,0.3645369192441557,type4,0.125,0.031258999999999995,54.0,50.0,50.0,20.0,0.06123456790123457,0.0,0.018666666666666682,0.0
0.36468608352843984,0.3646860834821304,type4,0.125,0.06250900000000001,54.0,50.0,50.0,20.0,0.0035802469135802384,0.05906666666666665,0.03200000000000003,0.0
0.364818037283196,0.364818036478807,type4,0.125,0.125007,54.0,50.0,50.0,20.0,0.011111111111111108,0.042666666666666665,0.023333333333333355,0.0
0.36436480507003566,0.36436480684608696,type4,0.125,0.25000500000000003,54.0,50.0,50.0,20.0,0.0,0.0,0.007000000000000006,0.0
0.8335774780716617,0.830311145292529,type4,0.125,4.1e-05,54.0,50.0,50.0,20.0,0.00864197530864197,0.002399999999999995,0.0010000000000000009,0.0
0.834827217774349,0.8321489353123108,type4,0.125,5.6000000000000006e-05,54.0,50.0,50.0,20.0,0.00506172839506173,0.0008000000000000228,0.0023333333333333353,0.0
0.8350108033017204,0.8324491787764732,type4,0.125,5.9999999999999995e-05,53.666666666666664,50.0,50.0,19.666666666666668,0.016049382716049387,0.0015999999999999719,0.003333333333333336,0.016666666666666684
0.8357690554682496,0.8320973119094996,type4,0.125,6.1e-05,53.666666666666664,50.0,50.0,20.0,0.010617283950617304,0.002266666666666676,0.0023333333333333353,0.0
0.6818245056238771,0.6730571398226229,type4,0.125,6.2e-05,54.0,50.0,49.666666666666664,20.0,0.003950617283950631,0.0017333333333333274,0.007000000000000005,0.0
0.8313323621895993,0.828136755659982,type4,0.125,6.3e-05,53.666666666666664,50.0,50.0,19.666666666666668,0.01641975308641974,0.0014666666666666528,0.006333333333333339,0.016666666666666684
0.8340450542009649,0.8307815851042939,type4,0.125,7.099999999999999e-05,53.333333333333336,50.0,50.0,19.0,0.018641975308641975,0.0006666666666666673,0.014333333333333345,0.06190476190476191
0.8332456816531417,0.8297718565781613,type4,0.25,0.000987,53.0,50.0,50.0,19.333333333333332,0.04506172839506173,0.0017333333333333274,0.0040000000000000036,0.038095238095238106
0.8365550529178521,0.8336444057905131,type4,0.25,0.001109,52.333333333333336,50.0,49.666666666666664,19.333333333333332,0.05234567901234569,0.0048000000000000265,0.012666666666666678,0.03571428571428574
0.8321106917083835,0.8294218842146682,type4,0.25,0.001111,52.333333333333336,50.0,49.333333333333336,18.0,0.04802469135802471,0.002666666666666669,0.053333333333333344,0.10000000000000002
0.8320580900036099,0.8290394283633763,type4,0.25,0.001111,52.0,50.0,50.0,18.666666666666668,0.05098765432098765,0.0017333333333333645,0.05066666666666667,0.06904761904761907
0.8351896108930239,0.8319940350758448,type4,0.25,0.001112,52.666666666666664,50.0,49.333333333333336,19.0,0.0537037037037037,0.0009333333333333046,0.043333333333333335,0.05000000000000005
0.8302987165987493,0.8270849601919222,type4,0.25,0.001116,52.666666666666664,50.0,50.0,19.666666666666668,0.04530864197530863,0.0021333333333333573,0.01900000000000002,0.016666666666666684
0.8325897389058299,0.8295117695766888,type4,0.25,0.001124,53.0,50.0,49.666666666666664,18.666666666666668,0.046913580246913576,0.002266666666666676,0.05633333333333331,0.0666666666666667
0.8324491769938979,0.8294907401238465,type4,0.25,0.001139,53.333333333333336,50.0,49.666666666666664,17.666666666666668,0.04777777777777777,0.008533333333333356,0.037333333333333364,0.1214285714285714
0.8293893729790085,0.825861059357856,type4,0.25,0.00117,51.333333333333336,50.0,49.0,18.666666666666668,0.057530864197530875,0.003066666666666699,0.034999999999999996,0.07142857142857144
0.8300472315402091,0.8267809056876511,type4,0.25,0.001231,52.666666666666664,50.0,49.666666666666664,18.0,0.048888888888888905,0.0029333333333333433,0.09066666666666663,0.10238095238095239
0.8259700559694751,0.8233749465154411,type4,0.25,0.001475,51.333333333333336,50.0,50.0,19.0,0.05777777777777782,0.0021333333333333573,0.024666666666666653,0.05238095238095238
0.8315379349786105,0.828582349643949,type4,0.25,0.001963,53.0,50.0,48.333333333333336,18.0,0.05592592592592597,0.002266666666666639,0.09466666666666664,0.10238095238095239
0.829541408298668,0.8267350063112023,type4,0.25,0.003915999999999999,50.333333333333336,50.0,45.666666666666664,17.666666666666668,0.11098765432098767,0.04106666666666666,0.13,0.13095238095238093
