acc,val_acc,type,sigma,lambda,n1,n2,n3,n4,sp1,sp2,sp3,sp4
0.9999206349206348,0.9768730158427404,type1,0.0003,0.0008320000000000001,666.6666666666666,215.33333333333334,222.66666666666666,91.0,0.7427944302721089,0.6881027777777776,0.3546777777777778,0.09000000000000001
0.9997936507936509,0.9751428573623536,type1,0.0003,0.0012439999999999999,672.0,103.0,183.0,92.66666666666667,0.860766369047619,0.8492305555555556,0.45826666666666666,0.074
0.9994920634920635,0.9741269844070314,type1,0.0003,0.001655,678.6666666666666,75.66666666666667,156.66666666666666,92.66666666666667,0.8918951955782314,0.882961111111111,0.5474111111111112,0.07433333333333336
0.9989047619047619,0.974428570966872,type1,0.0003,0.002066,671.0,69.66666666666667,153.0,91.66666666666667,0.8999383503401361,0.8942861111111111,0.5742888888888888,0.08466666666666663
0.9972936507936508,0.9730476191384453,type1,0.0003,0.002477,692.3333333333334,107.33333333333333,129.33333333333334,87.33333333333333,0.9088828656462585,0.9013777777777778,0.6565222222222222,0.12733333333333333
0.997984126984127,0.9716031743912471,type1,0.0003,0.002888,680.0,46.333333333333336,110.0,86.33333333333333,0.92437393707483,0.9181694444444445,0.6966555555555556,0.137
0.9971507936507935,0.9729206350871497,type1,0.0003,0.0032990000000000003,668.0,56.0,105.0,85.66666666666667,0.9301775085034013,0.9304638888888889,0.7224333333333334,0.14400000000000002
0.996595238095238,0.9724444444217379,type1,0.0003,0.003711,677.0,46.0,93.0,90.0,0.9339477040816325,0.92855,0.7519555555555556,0.10133333333333332
0.9947460317460317,0.9706666665985471,type1,0.0003,0.003915999999999999,675.6666666666666,62.666666666666664,102.33333333333333,89.66666666666667,0.936172406462585,0.9342250000000001,0.7268333333333333,0.10466666666666664
0.9944365079365078,0.9697460312389192,type1,0.0003,0.004122,690.0,57.0,92.66666666666667,90.0,0.9350701530612245,0.9320555555555554,0.7634333333333334,0.10100000000000002
0.9933095238095238,0.9685396825775268,type1,0.0003,0.004533,679.0,42.333333333333336,96.66666666666667,89.0,0.9415274234693878,0.9383055555555556,0.7575555555555556,0.11033333333333332
0.9923571428571428,0.9693968252757239,type1,0.0003,0.004944,683.0,45.333333333333336,79.33333333333333,89.0,0.9424319727891155,0.9393944444444444,0.7832666666666667,0.11233333333333334
0.9922936507936507,0.968936507974352,type1,0.0003,0.0053549999999999995,680.3333333333334,45.333333333333336,78.0,86.66666666666667,0.9437903911564626,0.9393972222222221,0.8003555555555556,0.13399999999999998
0.992468253968254,0.9676825391754272,type1,0.0003,0.005767,673.3333333333334,36.0,69.0,88.0,0.9465051020408164,0.9432833333333331,0.817888888888889,0.12133333333333333
0.9905317460317461,0.9666190475509281,type1,0.0003,0.006178,685.0,42.666666666666664,69.0,89.33333333333333,0.9481111819727891,0.9451916666666667,0.8227777777777777,0.11099999999999999
0.9894920634920634,0.9655079368636721,type1,0.0003,0.006589,676.3333333333334,44.333333333333336,66.0,86.66666666666667,0.9519292091836734,0.9517694444444444,0.8258111111111112,0.135
0.9876349206349206,0.9637619046180969,type1,0.0003,0.006999999999999999,680.0,35.333333333333336,65.66666666666667,86.0,0.9523437499999998,0.9536555555555554,0.829388888888889,0.14366666666666666
0.9886984126984126,0.9659365076867362,type1,0.0003,0.007411,679.3333333333334,37.666666666666664,61.0,85.0,0.9497629676870748,0.9469888888888889,0.8447111111111111,0.15233333333333332
0.9861031746031745,0.9646825401745146,type1,0.0003,0.007821999999999999,680.3333333333334,36.0,63.666666666666664,89.0,0.9534375000000002,0.9527388888888889,0.8335222222222223,0.11166666666666665
0.9723809523809525,0.9549841270673842,type1,0.0003,0.015635,673.6666666666666,30.333333333333332,34.0,84.0,0.9683758503401361,0.9749861111111112,0.9062999999999999,0.16400000000000003
0.9556666666666667,0.9410634917153251,type1,0.0003,0.03126,678.0,12.333333333333334,26.0,77.33333333333333,0.9783152636054422,0.9809611111111112,0.9230666666666667,0.2273333333333333
0.9195317460317459,0.9095873014889068,type1,0.0003,0.06250900000000001,682.6666666666666,11.333333333333334,19.666666666666668,66.33333333333333,0.9876955782312925,0.9949722222222223,0.9409555555555557,0.3393333333333333
0.11266666666666668,0.11266666668748099,type1,0.0003,0.12500899999999998,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11273015873015874,0.11273015886923622,type1,0.0003,0.25000700000000003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11226984126984126,0.11226984128497897,type1,0.0003,0.500005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.999563492063492,0.9719047618215045,type1,0.0005,0.00021600000000000002,702.6666666666666,400.0,298.6666666666667,98.0,0.15199829931972794,0.005722222222222221,0.01538888888888886,0.02566666666666669
0.9999920634920635,0.9774920633406866,type1,0.0005,0.000421,672.3333333333334,377.0,247.0,94.0,0.4877933673469388,0.3707777777777778,0.26510000000000006,0.06333333333333331
0.9999285714285714,0.9753809521160429,type1,0.0005,0.000627,686.6666666666666,281.0,214.0,89.33333333333333,0.7160597363945579,0.7021833333333333,0.4471,0.10766666666666665
0.9998333333333335,0.9763333334317283,type1,0.0005,0.0008320000000000001,681.6666666666666,227.0,198.0,92.33333333333333,0.7743548044217686,0.7633,0.4661333333333333,0.07766666666666666
0.9997301587301587,0.9742380953364901,type1,0.0005,0.001038,675.6666666666666,159.0,174.0,90.0,0.8539381377551022,0.86185,0.5716111111111112,0.10033333333333332
0.9989603174603174,0.9737460313524519,type1,0.0005,0.0012439999999999999,686.0,205.66666666666666,193.33333333333334,91.0,0.7918420493197278,0.8016444444444444,0.5508222222222222,0.09333333333333331
0.9985238095238094,0.9743650792137024,type1,0.0005,0.001449,684.3333333333334,171.33333333333334,168.0,88.0,0.8469632227891157,0.8651777777777777,0.5961777777777778,0.124
0.9987539682539683,0.9728571427738856,type1,0.0005,0.001655,685.3333333333334,129.66666666666666,168.33333333333334,89.0,0.8863977465986395,0.89075,0.6224222222222222,0.11066666666666665
0.9979761904761905,0.9727460316097926,type1,0.0005,0.00186,684.3333333333334,132.0,153.0,88.66666666666667,0.8999500425170067,0.9044527777777778,0.6539333333333333,0.11366666666666665
0.9978015873015873,0.9715555557220701,type1,0.0005,0.001963,689.0,130.66666666666666,157.33333333333334,87.0,0.9033248299319728,0.9121972222222223,0.6758888888888889,0.131
0.9977777777777778,0.9717777779367235,type1,0.0005,0.002066,685.6666666666666,174.33333333333334,142.33333333333334,86.33333333333333,0.8780017006802722,0.907511111111111,0.7110666666666666,0.13833333333333334
0.9972222222222221,0.9719047615187509,type1,0.0005,0.002271,684.3333333333334,139.66666666666666,138.66666666666666,88.33333333333333,0.9149340986394557,0.9182944444444443,0.7097666666666665,0.11766666666666666
0.9969444444444445,0.970412698389992,type1,0.0005,0.002477,691.0,124.33333333333333,123.66666666666667,85.0,0.9194005102040815,0.9302805555555556,0.7689222222222222,0.15100000000000002
0.995,0.9692222219573127,type1,0.0005,0.0026829999999999996,690.6666666666666,159.33333333333334,130.33333333333334,85.0,0.9096789965986395,0.9267666666666666,0.7601333333333334,0.15033333333333335
0.9960793650793652,0.9703650789714994,type1,0.0005,0.002888,684.6666666666666,83.0,119.66666666666667,86.0,0.9278029336734694,0.9367249999999999,0.7739888888888888,0.1416666666666667
0.994984126984127,0.9686349204305618,type1,0.0005,0.003094,687.6666666666666,105.33333333333333,118.33333333333333,85.0,0.9322714710884353,0.9370972222222221,0.7753666666666666,0.15033333333333335
0.9931031746031745,0.9681111110959734,type1,0.0005,0.0032990000000000003,684.3333333333334,170.0,107.33333333333333,88.33333333333333,0.9150701530612245,0.9290888888888889,0.7735888888888889,0.11733333333333333
0.9927539682539684,0.9678412700002156,type1,0.0005,0.003505,687.3333333333334,99.0,113.0,86.66666666666667,0.9401615646258503,0.9455083333333333,0.7885333333333332,0.13433333333333333
0.992111111111111,0.967190476304009,type1,0.0005,0.003711,690.3333333333334,122.0,106.33333333333333,84.33333333333333,0.9378582057823129,0.9452833333333333,0.8076888888888889,0.15766666666666665
0.9924126984126983,0.967285714104062,type1,0.0005,0.003915999999999999,688.3333333333334,126.0,98.0,89.33333333333333,0.9390539965986395,0.9425861111111112,0.8073555555555556,0.10799999999999998
0.9766111111111111,0.9565396826759217,type1,0.0005,0.007821999999999999,695.6666666666666,195.33333333333334,65.0,80.0,0.9566326530612245,0.9545944444444445,0.8780333333333333,0.20033333333333334
0.9670079365079366,0.9483333332727826,type1,0.0005,0.015635,683.3333333333334,37.666666666666664,29.666666666666668,72.33333333333333,0.9724075255102042,0.9830694444444447,0.9297555555555556,0.277
0.9402460317460317,0.9266666665304276,type1,0.0005,0.03126,683.6666666666666,179.66666666666666,20.666666666666668,70.66666666666667,0.9821354166666666,0.9902694444444444,0.9417222222222222,0.2956666666666667
0.8962380952380952,0.8880158731823876,type1,0.0005,0.06250900000000001,688.6666666666666,394.0,11.666666666666666,61.0,0.9887149234693876,0.9796083333333333,0.9671666666666666,0.39799999999999996
0.11314285714285714,0.11314285714758765,type1,0.0005,0.12500899999999998,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11225396825396827,0.11225396825869878,type1,0.0005,0.25000700000000003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11299999999999999,0.11300000002365262,type1,0.0005,0.500005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.9999126984126985,0.9754761906351362,type1,0.0007,0.00021600000000000002,684.6666666666666,400.0,289.6666666666667,93.33333333333333,0.2499330357142857,0.03355833333333336,0.0976888888888889,0.07366666666666666
0.9999920634920635,0.9775555557069323,type1,0.0007,0.000421,675.6666666666666,397.6666666666667,257.3333333333333,92.66666666666667,0.3702689200680272,0.23856111111111108,0.24273333333333333,0.0823333333333333
0.9998571428571429,0.9766190477174425,type1,0.0007,0.000627,684.3333333333334,361.6666666666667,220.0,88.66666666666667,0.5248373724489795,0.5205666666666667,0.41065555555555555,0.11499999999999999
0.9997222222222222,0.9753650792061337,type1,0.0007,0.0008320000000000001,684.0,292.3333333333333,183.33333333333334,89.0,0.6959194302721089,0.7374611111111111,0.5439222222222222,0.11499999999999999
0.9994603174603173,0.9749523811794463,type1,0.0007,0.001038,685.0,264.3333333333333,169.0,88.0,0.753452380952381,0.8100583333333334,0.6191555555555556,0.12366666666666669
0.9990396825396824,0.9745555554722983,type1,0.0007,0.0012439999999999999,694.0,262.0,162.0,89.66666666666667,0.7625233843537416,0.8348305555555555,0.6447999999999999,0.10466666666666664
0.9986031746031747,0.9742539682918125,type1,0.0007,0.001449,690.3333333333334,246.66666666666666,160.66666666666666,86.66666666666667,0.7990391156462585,0.8481277777777777,0.6552555555555556,0.13900000000000004
0.9983888888888889,0.9729999999167426,type1,0.0007,0.001655,689.3333333333334,203.0,144.33333333333334,87.33333333333333,0.849936224489796,0.8913611111111109,0.7066,0.13
0.997515873015873,0.9719523807328846,type1,0.0007,0.00186,689.0,206.33333333333334,136.33333333333334,87.66666666666667,0.8580346513605441,0.899975,0.7227666666666667,0.12766666666666668
