acc,val_acc,type,sigma,lambda,n1,n2,n3,n4,sp1,sp2,sp3,sp4
0.8368237393894512,0.833701777874488,type3,0.25,0.001963,51.333333333333336,50.0,49.666666666666664,18.666666666666668,0.06604938271604939,0.002666666666666669,0.042333333333333334,0.0666666666666667
0.8240299374945366,0.8215677836051966,type3,0.25,0.002066,52.0,50.0,49.333333333333336,19.0,0.055555555555555546,0.01213333333333333,0.023333333333333355,0.05714285714285713
0.8257482110867622,0.8224914522285856,type3,0.25,0.002169,51.666666666666664,50.0,49.666666666666664,19.0,0.06407407407407406,0.005066666666666664,0.03733333333333333,0.05000000000000001
0.8316498049747114,0.8290126444068112,type3,0.25,0.002271,51.666666666666664,50.0,49.666666666666664,19.0,0.06567901234567901,0.0033333333333333734,0.020666666666666684,0.05238095238095242
0.8284800429861839,0.8258629590915941,type3,0.25,0.002374,52.333333333333336,50.0,48.666666666666664,17.666666666666668,0.07037037037037037,0.008666666666666637,0.054333333333333345,0.1166666666666667
0.8257606407416995,0.8237249365713257,type3,0.25,0.002477,51.666666666666664,50.0,48.666666666666664,16.333333333333332,0.07444444444444442,0.005599999999999976,0.09133333333333334,0.18333333333333335
0.8288070642998814,0.8267273453640299,type3,0.25,0.0025800000000000003,50.666666666666664,50.0,49.333333333333336,19.333333333333332,0.08074074074074078,0.006666666666666671,0.014333333333333345,0.04047619047619048
0.8293301024254022,0.8266623144137726,type3,0.25,0.0026829999999999996,51.666666666666664,50.0,47.0,17.0,0.07580246913580246,0.0077333333333333325,0.133,0.15
0.8317463802950643,0.8288367015851289,type3,0.25,0.002785,52.0,50.0,47.666666666666664,18.0,0.07679012345679011,0.02506666666666668,0.10933333333333335,0.10000000000000002
0.8312778428496589,0.8289132058901708,type3,0.25,0.002888,52.0,50.0,47.333333333333336,18.0,0.07617283950617282,0.021866666666666663,0.079,0.10238095238095235
0.8360157573992963,0.8340823477101768,type3,0.25,0.00294,50.666666666666664,50.0,49.0,18.0,0.10111111111111111,0.0067999999999999545,0.072,0.10952380952380954
0.8311516322288193,0.8288099287017564,type3,0.25,0.002991,50.333333333333336,50.0,49.0,19.333333333333332,0.09827160493827163,0.006666666666666672,0.026333333333333358,0.0595238095238095
0.8269405716767283,0.8239792871376759,type3,0.25,0.003094,51.0,50.0,48.666666666666664,18.0,0.08790123456790122,0.007066666666666628,0.08333333333333333,0.10000000000000003
0.8333900662137852,0.8310741798409781,type3,0.25,0.0031969999999999998,50.0,50.0,47.333333333333336,18.666666666666668,0.10283950617283953,0.020000000000000018,0.09166666666666667,0.06666666666666665
0.8216557362755994,0.8200340337214591,type3,0.25,0.0032990000000000003,51.666666666666664,50.0,48.0,19.666666666666668,0.08407407407407408,0.00626666666666668,0.043000000000000003,0.019047619047619053
0.8275200221328117,0.8253064776360496,type3,0.25,0.0034020000000000005,50.333333333333336,50.0,47.333333333333336,18.666666666666668,0.09691358024691354,0.014533333333333362,0.07333333333333338,0.07380952380952381
0.8292698607198267,0.8274961178160233,type3,0.25,0.003505,51.0,50.0,49.0,18.333333333333332,0.09641975308641974,0.01213333333333333,0.06799999999999999,0.08333333333333333
0.8296207705496049,0.8277026775465934,type3,0.25,0.0036079999999999997,50.333333333333336,50.0,45.333333333333336,17.666666666666668,0.11320987654320987,0.02533333333333332,0.154,0.11666666666666665
0.822689371376598,0.8195177021391314,type3,0.25,0.003711,49.333333333333336,50.0,46.666666666666664,18.0,0.11148148148148147,0.01773333333333334,0.12266666666666669,0.10000000000000002
0.8325333273627956,0.830269065256641,type3,0.25,0.0038130000000000004,50.666666666666664,50.0,47.333333333333336,18.666666666666668,0.1074074074074074,0.0168,0.07766666666666666,0.06666666666666665
0.8245290772579686,0.8222734297913612,type3,0.25,0.003915999999999999,50.333333333333336,50.0,45.666666666666664,16.666666666666668,0.10802469135802469,0.026000000000000023,0.16166666666666665,0.16666666666666666
0.8172285921067329,0.8152894266667103,type3,0.25,0.007821999999999999,41.0,49.333333333333336,29.666666666666668,16.333333333333332,0.26913580246913577,0.26786666666666664,0.4923333333333333,0.18333333333333335
0.7699651980965877,0.7691170470831121,type3,0.25,0.015635,29.333333333333332,21.0,9.666666666666666,9.0,0.7422222222222222,0.8904,0.87,0.55
0.7194526772126904,0.7196094927662887,type3,0.25,0.03126,12.333333333333334,7.0,5.0,6.0,0.9479012345679013,0.9734666666666666,0.9353333333333333,0.7047619047619046
0.6934548976561956,0.6937465372628439,type3,0.25,0.06250900000000001,6.0,4.333333333333333,4.333333333333333,4.0,0.9751851851851852,0.9781333333333334,0.9536666666666668,0.7999999999999999
0.6680709859142748,0.6679734585670491,type3,0.25,0.12500899999999998,1.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.9892592592592592,0.9925333333333333,0.9696666666666668,0.8666666666666667
0.4875676501127324,0.48756764900485033,type3,0.25,0.25000700000000003,0.3333333333333333,0.3333333333333333,1.0,2.0,0.9998765432098766,0.9993333333333334,0.9913333333333334,0.9
0.487623109742853,0.4876231113190459,type3,0.25,0.500005,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.9833333333333334
0.8352288148059075,0.8323191333584168,type3,0.2,0.001963,52.0,50.0,49.333333333333336,19.333333333333332,0.05888888888888888,0.008933333333333347,0.01633333333333335,0.03333333333333337
0.8294046822291866,0.8268918082405334,type3,0.2,0.002066,51.333333333333336,50.0,49.333333333333336,19.0,0.06345679012345677,0.0021333333333333573,0.03666666666666666,0.05000000000000005
